,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
6115,9495,-0.5814220620954984,-18.648986866176852,-178.4616054199404,4.0,1.0,-1.0,51.99418159508241,-19866255.04149788,-2113653.0754904794,-1
6142,9523,-2.4634271162399277,-18.649101871550513,-178.46161705360228,4.0,1.0,-1.0,51.993935333046466,-19866256.336551193,-2113666.5872653355,-1
6166,9549,-4.199565812548372,-18.649184928997173,-178.46162539505875,4.0,1.0,-1.0,51.99375778383728,-19866257.265117876,-2113676.3455413054,-1
6223,9607,-2.6290233347676804,-18.649421820254105,-178.46164961600638,4.0,1.0,-1.0,51.99325278253855,-19866259.96138144,-2113704.1775122015,-1
6247,9631,-2.1685707981760056,-18.649498663236674,-178.4616574383161,4.0,1.0,-1.0,51.993089413030255,-19866260.83215697,-2113713.205678367,-1
6339,9726,-1.2301567667113886,-18.649921208652422,-178.4617001653334,4.0,1.0,-1.0,51.99219495367834,-19866265.58850678,-2113762.8499752013,-1
6386,9776,-2.0047905398603234,-18.650100319765716,-178.46171815083824,4.0,1.0,-1.0,51.991817786057254,-19866267.59064402,-2113783.8935380965,-1
6423,9815,-3.4236579736018484,-18.650221807640914,-178.46173030411651,4.0,1.0,-1.0,51.99156263138775,-19866268.943540767,-2113798.1670243083,-1
6441,9833,-0.5109054124782233,-18.650305161892973,-178.46173897801722,4.0,1.0,-1.0,51.99138788070013,-19866269.90911498,-2113807.960236047,-1
6488,9881,-3.1119756606908595,-18.65053515893194,-178.4617620857805,4.0,1.0,-1.0,51.990907021057865,-19866272.48145942,-2113834.9823941817,-1
6509,9902,-0.5262332818992945,-18.650631164379398,-178.46177207289543,4.0,1.0,-1.0,51.990706875865726,-19866273.59321997,-2113846.262004066,-1
6624,10019,-2.0161709356752913,-18.651122354833507,-178.46182236371845,4.0,1.0,-1.0,51.989688180347,-19866279.19156878,-2113903.9717114894,-1
6666,10061,-0.7870223473394162,-18.65128807100157,-178.46183965967754,4.0,1.0,-1.0,51.98934649770581,-19866281.11694614,-2113923.441654357,-1
6687,10082,-0.9188203473197518,-18.651364572788104,-178.4618476311374,4.0,1.0,-1.0,51.98918910282282,-19866282.00432499,-2113932.429832718,-1
6701,10096,-0.9338562980258304,-18.651402722326125,-178.46185160715402,4.0,1.0,-1.0,51.98911069432416,-19866282.446933135,-2113936.9120152052,-1
6735,10132,-1.5692076137706863,-18.651548884016474,-178.4618668417425,4.0,1.0,-1.0,51.98881078442536,-19866284.14283977,-2113954.0845357263,-1
6743,10140,-3.7340509762768765,-18.651586876266066,-178.46187064791405,4.0,1.0,-1.0,51.988732956569045,-19866284.56654085,-2113958.5482432693,-1
6795,10194,-0.5044239080268653,-18.651733257299412,-178.46188632621178,4.0,1.0,-1.0,51.988433588388034,-19866286.311840966,-2113975.746553045,-1
6815,10214,-3.818320784793968,-18.651815665175818,-178.46189475844363,4.0,1.0,-1.0,51.9882654002331,-19866287.250512723,-2113985.428662189,-1
6822,10221,-1.4120274448425791,-18.65182217813408,-178.4618956481244,4.0,1.0,-1.0,51.98825211843268,-19866287.349551532,-2113986.1938704667,-1
7138,10549,-0.5206107044032251,-18.6531106008753,-178.46203395402446,4.0,1.0,-1.0,51.985655326818225,-19866302.745693903,-2114137.571396505,-1
7144,10556,-0.5236527906395168,-18.6531426207201,-178.46203739569663,4.0,1.0,-1.0,51.98559156875308,-19866303.128819093,-2114141.3334410465,-1
7258,10673,-1.1159057916929669,-18.65373140309061,-178.462099820168,4.0,1.0,-1.0,51.984425902595824,-19866310.077879462,-2114210.5102146766,-1
7284,10702,-0.5718919364060184,-18.65385286949123,-178.46211252574275,4.0,1.0,-1.0,51.984187010585636,-19866311.492257573,-2114224.7814831487,-1
