,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
2480,-6.354257731972666,-18.662638926957655,-178.5236280947544,4.0,1.0,-1.0,52.07452793828452,-19873159.374075808,-2115257.095565254,-1
2488,-0.5718744320720361,-18.662728770484637,-178.52363698084588,4.0,4.0,-1.0,52.074266820887715,-19873160.363270987,-2115267.6519683325,-1
2491,-9.07821827691896,-18.662760741013532,-178.52364113939183,4.0,1.0,-1.0,52.07417400097984,-19873160.826198205,-2115271.4084316194,-1
2493,-6.589156862740765,-18.662760767927395,-178.52364090696872,4.0,1.0,-1.0,52.07417392286334,-19873160.800324984,-2115271.411593938,5
2495,-6.937793241085728,-18.662773588411035,-178.52364228484626,4.0,1.0,-1.0,52.07413671565337,-19873160.95370961,-2115272.917971348,5
2496,-6.555575221407707,-18.662780004861553,-178.52364292177222,4.0,1.0,-1.0,52.07411809713085,-19873161.02461188,-2115273.671889603,5
2500,-6.550610263429007,-18.66281206483204,-178.5236462835745,4.0,1.0,-1.0,52.074025100180734,-19873161.398845997,-2115277.4388632113,5
2501,-6.495427212196773,-18.662818477198215,-178.5236469507227,4.0,1.0,-1.0,52.0740065059108,-19873161.473112598,-2115278.1923017367,5
2502,-6.455868209769051,-18.66282488913762,-178.52364761925935,4.0,1.0,-1.0,52.073987914945974,-19873161.547533754,-2115278.945690147,5
2510,-4.000549947724721,-18.66297235419576,-178.52366283646612,4.0,1.0,-1.0,52.073560920696764,-19873163.241505466,-2115296.272509528,-1
2511,-6.97995597312638,-18.663010774224325,-178.52366713931704,4.0,1.0,-1.0,52.07344985259624,-19873163.720496636,-2115300.7867806973,-1
