Filename, min_x, max_x, min_y, max_y, min_z, max_z
./20131105_ncmp_hi_molokai_4QGJ3443.laz, -156.7462628, -156.7365546, 21.1732503, 21.1823878, -57.52, 110.46
./20131105_ncmp_hi_molokai_4QGJ3442.laz, -156.7452225, -156.7366415, 21.1642202, 21.1733621, -12.98, 307.37
./20131105_ncmp_hi_molokai_4QGJ3343.laz, -156.7558866, -156.7461540, 21.1734340, 21.1822245, -55.58, 174.76
./20131105_ncmp_hi_molokai_4QGJ3244.laz, -156.7653699, -156.7650152, 21.1826592, 21.1828627, -49.13, -35.57
./20131105_ncmp_hi_molokai_4QGJ3243.laz, -156.7655135, -156.7557759, 21.1736838, 21.1826530, -54.53, 196.52
./20131105_ncmp_hi_molokai_4QGJ3144.laz, -156.7750051, -156.7653961, 21.1826661, 21.1841928, -54.34, -18.97
./20131105_ncmp_hi_molokai_4QGJ3143.laz, -156.7751406, -156.7653832, 21.1736475, 21.1827831, -44.95, 120.56
./20131105_ncmp_hi_molokai_4QGJ3142.laz, -156.7751425, -156.7666773, 21.1734522, 21.1737580, -0.37, 130.76
./20131105_ncmp_hi_molokai_4QGJ3044.laz, -156.7846294, -156.7750040, 21.1827883, 21.1845021, -56.44, -26.18
./20131105_ncmp_hi_molokai_4QGJ3043.laz, -156.7847660, -156.7750068, 21.1737599, 21.1829114, -50.39, 90.34
./20131105_ncmp_hi_molokai_4QGJ3042.laz, -156.7847842, -156.7751425, 21.1726947, 21.1738845, -4.09, 107.55
./20131105_ncmp_hi_molokai_4QGJ2944.laz, -156.7891705, -156.7846265, 21.1829229, 21.1840548, -55.37, -48.60
./20131105_ncmp_hi_molokai_4QGJ2943.laz, -156.7943899, -156.7846354, 21.1738863, 21.1829630, -54.41, 3.69
./20131105_ncmp_hi_molokai_4QGJ2942.laz, -156.7944211, -156.7847683, 21.1699815, 21.1740091, -22.49, 46.10
./20131105_ncmp_hi_molokai_4QGJ2843.laz, -156.8040181, -156.7942631, 21.1740128, 21.1829485, -55.61, 43.91
./20131105_ncmp_hi_molokai_4QGJ2842.laz, -156.8040590, -156.7943939, 21.1713959, 21.1741361, -22.27, 133.11
./20131105_ncmp_hi_molokai_4QGJ2744.laz, -156.8107748, -156.8094263, 21.1832404, 21.1835851, -52.44, -43.53
./20131105_ncmp_hi_molokai_4QGJ2743.laz, -156.8136446, -156.8039128, 21.1741373, 21.1832466, -55.06, 47.59
./20131105_ncmp_hi_molokai_4QGJ2742.laz, -156.8136677, -156.8040199, 21.1713057, 21.1742609, -9.20, 160.49
./20131105_ncmp_hi_molokai_4QGJ2643.laz, -156.8232708, -156.8135356, 21.1742620, 21.1819591, -56.36, -5.44
./20131105_ncmp_hi_molokai_4QGJ2642.laz, -156.8233289, -156.8136457, 21.1704297, 21.1743845, -17.73, 0.14
./20131105_ncmp_hi_molokai_4QGJ2543.laz, -156.8328975, -156.8231801, 21.1743873, 21.1815034, -56.08, -16.07
./20131105_ncmp_hi_molokai_4QGJ2542.laz, -156.8329940, -156.8232718, 21.1677645, 21.1745077, -29.88, -5.72
./20131105_ncmp_hi_molokai_4QGJ2443.laz, -156.8425218, -156.8328272, 21.1745112, 21.1800486, -53.72, -29.35
./20131105_ncmp_hi_molokai_4QGJ2442.laz, -156.8426535, -156.8329002, 21.1655014, 21.1746318, -33.62, 44.79
./20131105_ncmp_hi_molokai_4QGJ2441.laz, -156.8426322, -156.8346048, 21.1645160, 21.1656022, -5.75, 61.38
./20131105_ncmp_hi_molokai_4QGJ2343.laz, -156.8521491, -156.8424668, 21.1746343, 21.1801883, -55.79, -23.05
./20131105_ncmp_hi_molokai_4QGJ2342.laz, -156.8522750, -156.8425260, 21.1656422, 21.1747534, -33.00, 43.43
./20131105_ncmp_hi_molokai_4QGJ2341.laz, -156.8520531, -156.8468223, 21.1653847, 21.1657163, -7.65, 24.20
./20131105_ncmp_hi_molokai_4QGJ2244.laz, -156.8602587, -156.8584991, 21.1838689, 21.1843964, -50.80, -28.56
./20131105_ncmp_hi_molokai_4QGJ2243.laz, -156.8617752, -156.8520885, 21.1747553, 21.1838823, -56.30, -20.82
./20131105_ncmp_hi_molokai_4QGJ2242.laz, -156.8619044, -156.8521513, 21.1657288, 21.1748760, -36.20, -2.39
