,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev
3695,4.695303188571415,21.093058938808287,-157.1596175369116,4.0,4.0,-1.0,16.675974227575352,22.936378479003906
3696,6.2116737410651695,21.093054176462026,-157.15961713737505,4.0,4.0,-1.0,16.676024113068706,24.958255767822266
3697,4.072535118979431,21.09305175795231,-157.1596180566385,4.0,4.0,-1.0,16.676049442394287,22.106096267700195
3698,1.429347013025108,21.09304876942482,-157.1596191925248,4.0,4.0,-1.0,16.67608073739393,18.581876754760742
3699,5.192229918418889,21.09304654764659,-157.1596178274339,4.0,4.0,-1.0,16.676104000172927,23.599077224731445
3700,-12.42539797950667,21.093026627914398,-157.159625398474,2.0,2.0,-1.0,16.676312452109414,0.10911514610052109
3701,5.360097638411389,21.093046737397326,-157.15961775529954,4.0,4.0,-1.0,16.676102013530908,23.822898864746094
3702,3.856080942074186,21.093038560773728,-157.15961865347813,4.0,4.0,-1.0,16.676187604374718,21.817628860473633
3703,1.2373648263856012,21.093035599650396,-157.15961977886766,4.0,4.0,-1.0,16.676218592081568,18.326038360595703
3704,1.3858503756819118,21.093035767749615,-157.15961971503629,4.0,4.0,-1.0,16.67621683307516,18.524017333984375
3705,1.474704474061582,21.09302291635544,-157.15962018023083,4.0,4.0,-1.0,16.676351269285078,18.642623901367188
3707,7.3417310875156545,21.09302307421165,-157.15961791048963,4.0,4.0,-1.0,16.676349618501263,26.46532440185547
3708,5.20383919849337,21.09301418071296,-157.15961908067897,4.0,4.0,-1.0,16.676442602285533,23.61489486694336
3709,5.74884458339875,21.093014797022253,-157.15961884646254,4.0,4.0,-1.0,16.67643615991983,24.341562271118164
3710,1.2140229329379508,21.09300966949025,-157.15962079524863,4.0,4.0,-1.0,16.676489752542693,18.29518699645996
3711,1.5439275531025487,21.093010042659127,-157.1596206534614,4.0,4.0,-1.0,16.676485852658516,18.735055923461914
3712,4.127570046151959,21.09301296388211,-157.15961954318203,4.0,4.0,-1.0,16.676455321357935,22.179882049560547
3713,5.813246090761822,21.093008394540018,-157.1596190701083,4.0,4.0,-1.0,16.6765030760871,24.42749786376953
3714,1.7395810931557207,21.093003788539036,-157.1596208207022,4.0,4.0,-1.0,16.6765512029815,18.99599266052246
3715,6.413980500841717,21.09299612342335,-157.15961931429405,4.0,4.0,-1.0,16.676631269263453,25.228605270385742
3717,6.367921915094485,21.092996071360165,-157.15961933408556,4.0,4.0,-1.0,16.676631812995765,25.167194366455078
3718,1.2828579697634268,21.092977371639215,-157.1596220212512,4.0,4.0,-1.0,16.67682701301237,18.387304306030273
